1	The Legend of Zelda: Breath of the Wild	85	3/3/17	97	1	BotW	Action/Adventure
2	Splatoon 2	340	7/21/17	83	141	S2	Shooter
3	Pokken Tournament DX	3	9/22/17	79	204	PT DX	Fighting
4	Stardew Valley	25	10/5/17	87	217	SV	Role-Playing
5	Worms W.M.D.	2	11/23/17	83	266	Worms	Strategy
6	Hiragana Pixel Party	3	12/16/17	57	289	HPP	Rhythm
7	Paladins	5	6/12/18	74	467	Paladins	Shooter
8	Overcooked! 2	5	8/7/18	81	523	OC! 2	Strategy
9	Super Mario Party	20	10/5/18	76	582	SMP	Party
10	Super Smash Bros. Ultimate	50	12/7/18	93	645	SSBU	Fighting
11	Fire Emblem: Three Houses	3	7/26/19	89	876	FE:TH	Strategy
12	Super Monkey Ball: Banana Blitz HD	1	10/29/19	63	971	SMB:BB	Party
13	Pokemon Shield	10	11/15/19	80	988	PS	Role-Playing
14	Animal Crossing: New Horizons	280	3/20/20	91	"1,114"	AC:NH	Role-Playing
